# data set header
# non-radiated data sets
# energy, error, normalization
1096,  0.05, 1.0

# data set selection
# energy
# data points
#  nu      cross section   stat. error       syst. error
1096.0
 307.0   1.628000E+02   0.000000E+00   0.000000E+00
 308.0   1.644000E+02   0.000000E+00   0.000000E+00
 309.0   1.660000E+02   0.000000E+00   0.000000E+00
 310.0   1.676000E+02   0.000000E+00   0.000000E+00
 311.0   1.691000E+02   0.000000E+00   0.000000E+00
 312.0   1.706000E+02   0.000000E+00   0.000000E+00
 313.0   1.721000E+02   0.000000E+00   0.000000E+00
 314.0   1.735000E+02   0.000000E+00   0.000000E+00
 315.0   1.749000E+02   0.000000E+00   0.000000E+00
 316.0   1.763000E+02   0.000000E+00   0.000000E+00
 317.0   1.776000E+02   0.000000E+00   0.000000E+00
 318.0   1.789000E+02   0.000000E+00   0.000000E+00
 319.0   1.802000E+02   0.000000E+00   0.000000E+00
 320.0   1.814000E+02   0.000000E+00   0.000000E+00
 321.0   1.825000E+02   0.000000E+00   0.000000E+00
 322.0   1.837000E+02   0.000000E+00   0.000000E+00
 323.0   1.848000E+02   0.000000E+00   0.000000E+00
 324.0   1.858000E+02   0.000000E+00   0.000000E+00
 325.0   1.868000E+02   0.000000E+00   0.000000E+00
 326.0   1.878000E+02   0.000000E+00   0.000000E+00
 327.0   1.887000E+02   0.000000E+00   0.000000E+00
 328.0   1.896000E+02   0.000000E+00   0.000000E+00
 329.0   1.905000E+02   0.000000E+00   0.000000E+00
 330.0   1.912000E+02   0.000000E+00   0.000000E+00
 331.0   1.919000E+02   0.000000E+00   0.000000E+00
 332.0   1.926000E+02   0.000000E+00   0.000000E+00
 333.0   1.932000E+02   0.000000E+00   0.000000E+00
 334.0   1.938000E+02   0.000000E+00   0.000000E+00
 335.0   1.943000E+02   0.000000E+00   0.000000E+00
 336.0   1.948000E+02   0.000000E+00   0.000000E+00
 337.0   1.952000E+02   0.000000E+00   0.000000E+00
 338.0   1.956000E+02   0.000000E+00   0.000000E+00
 339.0   1.959000E+02   0.000000E+00   0.000000E+00
 340.0   1.962000E+02   0.000000E+00   0.000000E+00
 341.0   1.964000E+02   0.000000E+00   0.000000E+00
 342.0   1.965000E+02   0.000000E+00   0.000000E+00
 343.0   1.966000E+02   0.000000E+00   0.000000E+00
 344.0   1.967000E+02   0.000000E+00   0.000000E+00
 345.0   1.967000E+02   0.000000E+00   0.000000E+00
 346.0   1.967000E+02   0.000000E+00   0.000000E+00
 347.0   1.966000E+02   0.000000E+00   0.000000E+00
 348.0   1.964000E+02   0.000000E+00   0.000000E+00
 349.0   1.963000E+02   0.000000E+00   0.000000E+00
 350.0   1.961000E+02   0.000000E+00   0.000000E+00
 351.0   1.958000E+02   0.000000E+00   0.000000E+00
 352.0   1.955000E+02   0.000000E+00   0.000000E+00
 353.0   1.951000E+02   0.000000E+00   0.000000E+00
 354.0   1.947000E+02   0.000000E+00   0.000000E+00
